,food,paired_wine,pairing_text
0,steak,"['merlot', 'cabernet sauvignon', 'pinot noir']","Steak works really well with Merlot, Cabernet Sauvignon, and Pinot Noir. After all, beef and red wine are a classic combination. Generally, leaner steaks go well with light or medium-bodied reds, such as pinot noir or merlot, while fattier steaks can handle a bold red, such as cabernet sauvingnon. The Rombauer Merlot with a 4.8 out of 5 star rating seems like a good match. It costs about 26 dollars per bottle."
1,Hamburger,"['malbec', 'merlot', 'zinfandel']","Burger works really well with Malbec, Merlot, and Zinfandel. Merlot will be perfectly adequate for a classic burger with standard toppings. Bolder toppings call for bolder wines, such as a malbec or peppery zinfandel. One wine you could try is Alamos Malbec Mendoza Seleccion. It has 4.2 out of 5 stars and a bottle costs about 17 dollars."
2,pizza,"['sangiovese', 'barbera wine', 'shiraz']","Sangiovese, Barbera Wine, and Shiraz are my top picks for Pizza. The best wine for pizza depends on the toppings! Red sauce pizza will call for a red wine with some acidity, such as a barberan or sangiovese. Add pepperoni or sausage and you can go bolder with a syrah. The Cecchi Sangiovese di Toscana with a 4.1 out of 5 star rating seems like a good match. It costs about 9 dollars per bottle."
3,tuna,"['merlot', 'pinot noir', 'rose wine']","Tuna can be paired with Merlot, Pinot Noir, and rosé Wine. Though fish is often paired with white wine, 'meatier' fish like tuna can absolutely go with red wine. A Rosé will also pair nicely, particularly if your tunan is prepared with ingredients better suited to a white wine. You could try Robert Mondavi Napa Merlot. Reviewers quite like it with a 4 out of 5 star rating and a price of about 30 dollars per bottle."
4,pork,"['malbec', 'pinot noir', 'sangiovese']","Pork works well with red and white wine, depending on the flavors of the dish. Salty pork, such as ham or bacon, can be paired with fruity, acidic white wine like riesling. Spicy pork dishes can be enjoyed with a spicy, silghtly sweet Gewürztraminer. Fatty pork cuts or pork ribs both go well with a red zinfandel. We may be able to make a better recommendation if you ask again with a specific cut of pork or pork dish."
5,tacos,"['pinot noir', 'riesling', 'sparkling rose']","Pinot Noir, Riesling, and Sparkling rosé are great choices for Tacos. Acidic white wines like riesling or low-tannin reds like pinot noir can work well with Mexican dishes. Sparkling rosé is a safe pairing too. The Mark West Black Label Monterey County Pinot Noir with a 4.1 out of 5 star rating seems like a good match. It costs about 13 dollars per bottle."
6,mexican,"['riesling', 'sparkling rose', 'pinot noir']","Riesling, Sparkling rosé, and Pinot Noir are my top picks for Mexican. Acidic white wines like riesling or low-tannin reds like pinot noir can work well with Mexican dishes. Sparkling rosé is a safe pairing too. The Engel Wines Riesling - Kosher with a 5 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
7,chinese,"['chenin blanc', 'gewurztraminer', 'riesling']","Chenin Blanc, Gewurztraminer, and Riesling are my top picks for Chinese. The best wine for Asian food depends on the cuisine and dish - of course - but these acidic whites pair with a number of traditional meals, spicy or not. The Mulderbosch Chenin Blanc with a 4.2 out of 5 star rating seems like a good match. It costs about 15 dollars per bottle."
8,fajitas,"['pinot noir', 'riesling', 'sparkling rose']","Fajitas works really well with Pinot Noir, Riesling, and Sparkling rosé. Acidic white wines like riesling or low-tannin reds like pinot noir can work well with Mexican dishes. Sparkling rosé is a safe pairing too. You could try SketchBook Pinot Noir Wine. Reviewers quite like it with a 5 out of 5 star rating and a price of about 20 dollars per bottle."
9,salmon,"['chardonnay', 'pinot noir', 'sauvignon blanc']","Chardonnay, Pinot Noir, and Sauvignon Blanc are great choices for Salmon. To decide on white or red, you should consider your seasoning and sauces. Chardonnay is a great friend to buttery, creamy dishes, while sauvignon blanc can complement herb or citrus-centric dishes. A light-bodied, low-tannin red such as the pinot noir goes great with broiled or grilled salmon. One wine you could try is CalNaturale Chardonnay Lodi. It has 4.1 out of 5 stars and a bottle costs about 11 dollars."
10,meatloaf,"['zinfandel', 'cabernet sauvignon']","Zinfandel and Cabernet Sauvignon are my top picks for Meatloaf. Meatloaf will work with many red wines. We recommend something bold and fruity, like a Cabernet Sauvignon or Zinfandel. One wine you could try is NV Zombie Zin Zinfandel. It has 4 out of 5 stars and a bottle costs about 12 dollars."
11,crabcakes,"['cava', 'chardonnay', 'sauvignon blanc']","Cava, Chardonnay, and Sauvignon Blanc are great choices for Crabcakes. Sparkling wine like cava goes great with fried food in general. Chardonnay is a classic pairing, but sauvignon blanc is great if your crab cakes are on the spicier side. You could try Freixenet Sparkling Cordon Negro Brut Cava. Reviewers quite like it with a 4.2 out of 5 star rating and a price of about 10 dollars per bottle."
12,lobster,"['chablis', 'chardonnay']","Lobster works really well with Chablis and Chardonnay. Chablis is perfect with lobster, but a chardonny from other regions is bound to hit the spot too. The Simonnet-Febvre Chablis with a 4 out of 5 star rating seems like a good match. It costs about 15 dollars per bottle."
13,fish,"['pinot grigio', 'gruener veltliner', 'pinot noir']","Fish works really well with Pinot Grigio, Gruener Veltliner, and Pinot Noir. Fish is as diverse as wine, so it's hard to pick wines that go with every fish. A crisp white wine, such as a pinot grigio or Grüner Veltliner, will suit any delicately flavored white fish. Meaty, strongly flavored fish such as salmon and tuna can even handle a light red wine, such as a pinot noir. The Santa Cristina by Antinori Pinot Grigio with a 4.1 out of 5 star rating seems like a good match. It costs about 12 dollars per bottle."
14,shrimp,"['pinot grigio', 'riesling', 'sauvignon blanc']","Pinot Grigio, Riesling, and Sauvignon Blanc are my top picks for Shrimp. These crisp white wines work well with shrimp prepared in a variety of ways, whether grilled, fried, or in garlic sauce. You could try Santa Cristina by Antinori Pinot Grigio. Reviewers quite like it with a 4.1 out of 5 star rating and a price of about 12 dollars per bottle."
15,oysters,"['chardonnay', 'muscadet', 'riesling']","Chardonnay, Muscadet, and Riesling are great choices for Oysters. Buttery chardonnay is great for scallops, shrimp, crab, and lobster, while muscadet is a classic pick for mussels, oysters, and clams. If you've got some spice in your shellfish, a semi-dry riesling can balance out the heat. The NV Mindbender Chardonnay with a 4.4 out of 5 star rating seems like a good match. It costs about 12 dollars per bottle."
16,italian,"['chianti', 'trebbiano', 'verdicchio']","Italian on the menu? Try pairing with Chianti, Trebbiano, and Verdicchio. Italians know food and they know wine. Trebbiano and Verdicchio are Italian white wines that pair well with fish and white meat, while Chianti is a great Italian red for heavier, bolder dishes. You could try Mazzei Chianti Classico Riserva Ser Lapo. Reviewers quite like it with a 4.1 out of 5 star rating and a price of about 27 dollars per bottle."
17,indian,"['gruener veltliner', 'riesling', 'sparkling rose']","Indian can be paired with Gruener Veltliner, Riesling, and Sparkling rosé. The best wine for Indian food will depending on the dish, of course, but these picks can be served chilled and have some sweetness to complement the spiciness and complex flavors of a wide variety of traditional dishes. One wine you could try is Laurenz V Singing Gruner Veltliner. It has 4.4 out of 5 stars and a bottle costs about 16 dollars."
18,barbecue,"['zinfandel', 'rose wine']","Zinfandel and rosé Wine are my top picks for Barbecue. A rosé is refreshing in hot temperatures and complements sweet and spicy sauces and rubs. Zinfandel is a classic red wine choice for barbecue, especially for pork ribs and beef brisket. You could try Concrete Old Vine Zinfandel. Reviewers quite like it with a 4.5 out of 5 star rating and a price of about 18 dollars per bottle."
19,sushi,"['riesling', 'sake', 'sauvignon blanc', 'sparkling rose', 'sparkling wine']","Sushi can be paired with Riesling, Sake, and Sauvignon Blanc. If you're serving a selection of appetizers, you can't go wrong with these. Both are very food friendly and complement a variety of flavors. One wine you could try is Chateau Ste. Michelle Dry Riesling. It has 4.5 out of 5 stars and a bottle costs about 10 dollars."
20,cajun,"['albarino', 'rose wine', 'sauvignon blanc']","Cajun on the menu? Try pairing with Albarino, rosé Wine, and Sauvignon Blanc. These low-tannin, lower alcohol wines will complement the heat in spicy cajun dishes, instead of making your mouth burn more. You could try La Canan Albarino. Reviewers quite like it with a 4.1 out of 5 star rating and a price of about 20 dollars per bottle."
21,greek,"['agiorgitiko', 'moschofilero', 'assyrtiko']","Agiorgitiko, Moschofilero, and Assyrtiko are great choices for Greek. If you feel like going Greek with your Greek food, assyrtiko and moschofilero are both lovely white wines to pair with chicken, seafood, etc. Agiorgitiko is a full bodied red suitable for roasted meats and lamb. You could try Boutari Moschofilero. Reviewers quite like it with a 4 out of 5 star rating and a price of about 14 dollars per bottle."
22,southern,"['riesling', 'sparkling wine', 'zinfandel']","Southern works really well with Riesling, Sparkling Wine, and Zinfandel. In general, there are a few rules that will help you pair wine with southern food. Food-friendly riesling or sparkling white wine will work with many fried foods, while zinfandel is great with barbecued fare. The Engel Wines Riesling - Kosher with a 5 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
23,chicken,"['chardonnay', 'pinot noir', 'sauvignon blanc']","Chicken on the menu? Try pairing with Chardonnay, Pinot Noir, and Sauvignon Blanc. White meat is typically paired with white wine as to not overpower the flavor of the meat, so chardonnay and sauvignon blanc are safe choices. Chicken prepared with a tomato sauce or certainly a red wine sauce can and should be served with a red like a pinot noir. The District 7 Estate Chardonnay with a 5 out of 5 star rating seems like a good match. It costs about 18 dollars per bottle."
24,beef,"['merlot', 'cabernet sauvignon', 'pinot noir']","Merlot, Cabernet Sauvignon, and Pinot Noir are my top picks for Beef. Beef and red wine are a classic combination. Generally, leaner cuts of beef go well with light or medium-bodied reds, such as pinot noir or merlot, while fattier cuts can handle a bold red, such as cabernet sauvingnon. The Sterling Vineyards Merlot with a 5 out of 5 star rating seems like a good match. It costs about 29 dollars per bottle."
25,chili,"['cava', 'grenache', 'shiraz']","Chili can be paired with Cava, Grenache, and Shiraz. These juicy reds don't have too much tannin (important for spicy foods), but a sparkling wine like cava can tame the heat even better. The Segura Viudas Brut Reserva Heredad Cava with a 4.1 out of 5 star rating seems like a good match. It costs about 22 dollars per bottle."
26,burger,"['malbec', 'merlot', 'zinfandel']","Burger can be paired with Malbec, Merlot, and Zinfandel. Merlot will be perfectly adequate for a classic burger with standard toppings. Bolder toppings call for bolder wines, such as a malbec or peppery zinfandel. You could try Ernesto Catena Padrillos Malbec. Reviewers quite like it with a 4.8 out of 5 star rating and a price of about 15 dollars per bottle."
27,stew,"['cabernet sauvignon', 'chablis', 'malbec']","Stew can be paired with Cabernet Sauvignon, Chablis, and Malbec. Full-bodied red wines like malbec and cabernet sauvignon are the perfect accompaniment for beef stew. Fish stew probably calls for a white wine, such as chablis. You could try Elway's Reserve Cabernet Sauvignon Wine. Reviewers quite like it with a 5 out of 5 star rating and a price of about 78 dollars per bottle."
28,prime rib,"['merlot', 'cabernet sauvignon', 'pinot noir']","Merlot, Cabernet Sauvignon, and Pinot Noir are my top picks for Prime Rib. Beef and red wine are a classic combination. Generally, leaner cuts of beef go well with light or medium-bodied reds, such as pinot noir or merlot, while fattier cuts can handle a bold red, such as cabernet sauvingnon. One wine you could try is Black River Winery Merlot. It has 4.3 out of 5 stars and a bottle costs about 10 dollars."
29,beef ribs,"['merlot', 'cabernet sauvignon', 'pinot noir']","Beef Ribs on the menu? Try pairing with Merlot, Cabernet Sauvignon, and Pinot Noir. Beef and red wine are a classic combination. Generally, leaner cuts of beef go well with light or medium-bodied reds, such as pinot noir or merlot, while fattier cuts can handle a bold red, such as cabernet sauvingnon. The Clos Du Val Merlot with a 4.1 out of 5 star rating seems like a good match. It costs about 30 dollars per bottle."
30,cod,"['pinot grigio', 'gruener veltliner', 'pinot noir']","Pinot Grigio, Gruener Veltliner, and Pinot Noir are great choices for Cod. Fish is as diverse as wine, so it's hard to pick wines that go with every fish. A crisp white wine, such as a pinot grigio or Grüner Veltliner, will suit any delicately flavored white fish. Meaty, strongly flavored fish such as salmon and tuna can even handle a light red wine, such as a pinot noir. You could try Miranda Lambert Kerosene Pinot Grigio Wine. Reviewers quite like it with a 5 out of 5 star rating and a price of about 26 dollars per bottle."
31,crab,"['chardonnay', 'pinot grigio', 'riesling']","Crab works really well with Chardonnay, Pinot Grigio, and Riesling. Chilled crab tastes great with pinot grigio. Warm crab (especially with butter) can be matched with a buttery Chardonnay or a crisp fruity Riesling. The CalNaturale Chardonnay Lodi with a 4.1 out of 5 star rating seems like a good match. It costs about 11 dollars per bottle."
32,clams,"['chardonnay', 'muscadet', 'riesling']","Clams can be paired with Chardonnay, Muscadet, and Riesling. Buttery chardonnay is great for scallops, shrimp, crab, and lobster, while muscadet is a classic pick for mussels, oysters, and clams. If you've got some spice in your shellfish, a semi-dry riesling can balance out the heat. The CalNaturale Chardonnay Lodi with a 4.1 out of 5 star rating seems like a good match. It costs about 11 dollars per bottle."
33,salad,"['chardonnay', 'gruener veltliner', 'sauvignon blanc']","Salad works really well with Chardonnay, Gruener Veltliner, and Sauvignon Blanc. Sauvignon Blanc and Gruner Veltliner both have herby notes that complement salads with enough acid to match tart vinaigrettes, while a Chardonnay can be a good pick for creamy salad dressings. The Mercer Estates Zephyr Ridge Vineyard Reserve Chardonnay with a 5 out of 5 star rating seems like a good match. It costs about 35 dollars per bottle."
34,brisket,"['shiraz', 'tempranillo', 'zinfandel']","Brisket works really well with Shiraz, Tempranillo, and Zinfandel. All these red wines can handle the meaty, smokey flavor of brisket. If you're talking traditional Jewish brisket, you'll want to look for a kosher red wine. One wine you could try is Penfolds Bin 8 Cabernet-Shiraz. It has 4.1 out of 5 stars and a bottle costs about 20 dollars."
35,gumbo,"['albarino', 'rose wine', 'sauvignon blanc']","Albarino, rosé Wine, and Sauvignon Blanc are my top picks for Gumbo. These low-tannin, lower alcohol wines will complement the heat in spicy cajun dishes, instead of making your mouth burn more. The Salneval Albarino with a 4.2 out of 5 star rating seems like a good match. It costs about 9 dollars per bottle."
36,meatloaf,"['zinfandel', 'cabernet sauvignon']","Meatloaf can be paired with Zinfandel and Cabernet Sauvignon. Meatloaf will work with many red wines. We recommend something bold and fruity, like a Cabernet Sauvignon or Zinfandel. You could try McFadden Old Vine Zinfandel. Reviewers quite like it with a 5 out of 5 star rating and a price of about 24 dollars per bottle."
37,paella,"['tempranillo', 'albarino', 'grenache']","Paellan on the menu? Try pairing with Tempranillo, Albarino, and Grenache. When pairing wine with Spanish dishes, why not follow the rule 'what grows together goes together'? We recommend albariño for white wine and garnachan and tempranillo for red. The Matchbook Tempranillo Wine with a 5 out of 5 star rating seems like a good match. It costs about 15 dollars per bottle."
38,empanada,"['tempranillo', 'albarino', 'grenache']","Tempranillo, Albarino, and Grenache are my top picks for Empanada. When pairing wine with Spanish dishes, why not follow the rule 'what grows together goes together'? We recommend albariño for white wine and garnachan and tempranillo for red. One wine you could try is Rancho Maria Vineyards Tempranillo. It has 5 out of 5 stars and a bottle costs about 25 dollars."
39,spanish,"['tempranillo', 'albarino', 'grenache']","Spanish on the menu? Try pairing with Tempranillo, Albarino, and Grenache. When pairing wine with Spanish dishes, why not follow the rule 'what grows together goes together'? We recommend albariño for white wine and garnachan and tempranillo for red. The Rancho Maria Vineyards Tempranillo with a 5 out of 5 star rating seems like a good match. It costs about 25 dollars per bottle."
40,pho,"['chenin blanc', 'gewurztraminer', 'riesling']","Pho works really well with Chenin Blanc, Gewurztraminer, and Riesling. The best wine for Asian food depends on the cuisine and dish - of course - but these acidic whites pair with a number of traditional meals, spicy or not. You could try Pine Ridge Chenin Blanc - Viognier. Reviewers quite like it with a 4.1 out of 5 star rating and a price of about 13 dollars per bottle."
41,chole,"['riesling', 'gruener veltliner', 'sparkling rose']","Riesling, Gruener Veltliner, and Sparkling rosé are my top picks for Chole. The best wine for Indian food will depending on the dish, of course, but these picks can be served chilled and have some sweetness to complement the spiciness and complex flavors of a wide variety of traditional dishes. The Chateau Ste. Michelle Dry Riesling with a 4.5 out of 5 star rating seems like a good match. It costs about 10 dollars per bottle."
42,caribbean,"['riesling', 'gewurztraminer', 'pinot gris']","Riesling, Gewurztraminer, and Pinot Gris are great choices for Caribbean. You'll want to opt for wines with a bit of sweetness when dealing with spicy Caribbean dishes. Serve these wines chilled so they're even more refreshing. One wine you could try is Eroica Riesling. It has 4.2 out of 5 stars and a bottle costs about 24 dollars."
43,jerk chicken,"['gewurztraminer', 'pinot gris', 'riesling']","Gewurztraminer, Pinot Gris, and Riesling are my top picks for Jerk Chicken. You'll want to opt for wines with a bit of sweetness when dealing with spicy Caribbean dishes. Serve these wines chilled so they're even more refreshing. You could try Lucien Albrecht Reserve Gewurztraminer. Reviewers quite like it with a 4.2 out of 5 star rating and a price of about 18 dollars per bottle."
44,african,"['pinotage', 'riesling', 'chenin blanc']","African on the menu? Try pairing with Pinotage, Riesling, and Chenin Blanc. The best wine for African dishes will depend on the dish, but a fruity, aromatic white wine is a safe bet for spicy dishes while pinotage would be a traditional match for South African cuisine. The Chateau Ste. Michelle Dry Riesling with a 4.5 out of 5 star rating seems like a good match. It costs about 10 dollars per bottle."
45,piri piri chicken,"['pinotage', 'chenin blanc', 'riesling']","Piri Piri Chicken works really well with Pinotage, Chenin Blanc, and Riesling. The best wine for African dishes will depend on the dish, but a fruity, aromatic white wine is a safe bet for spicy dishes while pinotage would be a traditional match for South African cuisine. The Tanian et Vincent Careme Terre Brulee Chenin Blanc with a 4.1 out of 5 star rating seems like a good match. It costs about 16 dollars per bottle."
46,bunny chow,"['pinotage', 'chenin blanc', 'riesling']","Pinotage, Chenin Blanc, and Riesling are my top picks for Bunny Chow. The best wine for African dishes will depend on the dish, but a fruity, aromatic white wine is a safe bet for spicy dishes while pinotage would be a traditional match for South African cuisine. You could try Pine Ridge Chenin Blanc - Viognier. Reviewers quite like it with a 4.1 out of 5 star rating and a price of about 13 dollars per bottle."
47,asian,"['riesling', 'gewurztraminer', 'chenin blanc']","Asian can be paired with Riesling, Gewurztraminer, and Chenin Blanc. The best wine for Asian food depends on the cuisine and dish - of course - but these acidic whites pair with a number of traditional meals, spicy or not. The Schmitt Sohne Relax Riesling with a 4.4 out of 5 star rating seems like a good match. It costs about 9 dollars per bottle."
48,gazpacho,"['albarino', 'manzanilla sherry', 'verdejo']","Gazpacho works really well with Albarino, Manzanilla Sherry, and Verdejo. Though gazpacho is said to be a tricky pairing, all these Spanish wines can work. The Salneval Albarino with a 4.2 out of 5 star rating seems like a good match. It costs about 9 dollars per bottle."
